transaction_id,user_id,amount,timestamp,hour,day_of_week,is_weekend,is_night,amount_rounded,is_large,is_structuring_amount,transactions_in_hour,recipient_age_days,is_new_recipient,is_international,is_fraud
TXN000000,user020,48065.4,2025-10-06T01:38:22.904482,1,0,0,1,0,0,1,3,21,1,1,1
TXN000001,user052,22374.22,2025-12-24T10:38:22.904482,10,2,0,0,0,0,0,1,257,0,0,0
TXN000002,user069,20310.36,2025-11-15T19:38:22.904482,19,5,1,0,0,0,0,2,218,0,0,0
TXN000003,user000,680000.0,2026-01-20T05:38:22.904482,5,1,0,1,1,1,0,9,0,1,0,1
TXN000004,user011,33138.7,2025-11-25T17:38:22.904482,17,1,0,0,0,0,0,2,182,0,0,0
TXN000005,user022,46620.43,2026-02-15T10:38:22.904482,10,6,1,0,0,0,1,0,126,0,0,0
TXN000006,user099,104207.63,2025-09-02T02:38:22.904482,2,1,0,1,0,0,0,9,22,1,0,1
TXN000007,user028,25866.8,2025-09-29T13:38:22.904482,13,0,0,0,0,0,0,0,305,0,0,0
TXN000008,user099,28707.33,2026-02-05T18:38:22.904482,18,3,0,0,0,0,0,2,208,0,0,0
TXN000009,user035,30567.94,2025-12-07T15:38:22.904482,15,6,1,0,0,0,0,1,263,0,0,0
TXN000010,user039,45259.33,2025-09-03T16:38:22.904482,16,2,0,0,0,0,1,2,312,0,0,0
TXN000011,user094,23313.11,2025-09-24T13:38:22.904482,13,2,0,0,0,0,0,0,246,0,1,0
TXN000012,user056,540000.0,2025-08-23T04:38:22.904482,4,5,1,1,1,1,0,8,21,1,1,1
TXN000013,user048,10202.98,2025-12-06T21:38:22.904482,21,5,1,0,0,0,0,2,365,0,0,0
TXN000014,user086,590000.0,2025-12-19T02:38:22.904482,2,4,0,1,1,1,0,8,30,0,1,1
TXN000015,user085,22203.19,2025-12-26T16:38:22.904482,16,4,0,0,0,0,0,0,301,0,1,0
TXN000016,user091,16447.69,2025-10-17T11:38:22.904482,11,4,0,0,0,0,0,2,132,0,0,0
TXN000017,user038,10138.19,2025-09-04T17:38:22.904482,17,3,0,0,0,0,0,1,238,0,0,0
TXN000018,user026,29917.3,2026-01-19T14:38:22.904482,14,0,0,0,0,0,0,1,67,0,0,0
TXN000019,user042,8530.27,2025-12-20T21:38:22.904482,21,5,1,0,0,0,0,1,112,0,0,0
TXN000020,user023,38590.42,2025-10-24T12:38:22.904482,12,4,0,0,0,0,0,1,256,0,0,0
TXN000021,user038,10444.15,2025-09-21T13:38:22.904482,13,6,1,0,0,0,0,2,52,0,0,0
TXN000022,user022,11712.24,2026-02-16T19:38:22.904482,19,0,0,0,0,0,0,0,320,0,0,0
TXN000023,user030,14529.69,2025-12-23T17:38:22.904482,17,1,0,0,0,0,0,1,192,0,0,0
TXN000024,user081,22842.98,2025-08-28T13:38:22.904482,13,3,0,0,0,0,0,2,254,0,0,0
TXN000025,user091,45532.74,2025-10-20T18:38:22.904482,18,0,0,0,0,0,1,2,284,0,0,0
TXN000026,user010,620000.0,2026-01-20T05:38:22.904482,5,1,0,1,1,1,0,9,2,1,0,1
TXN000027,user028,47850.36,2025-12-30T00:38:22.904482,0,1,0,1,0,0,1,5,2,1,0,1
TXN000028,user053,46964.76,2025-10-15T00:38:22.904482,0,2,0,1,0,0,1,10,18,1,1,1
TXN000029,user048,49317.38,2025-09-04T12:38:22.904482,12,3,0,0,0,0,1,2,363,0,0,0
TXN000030,user066,650000.0,2025-10-24T02:38:22.904482,2,4,0,1,1,1,0,9,6,1,0,1
TXN000031,user038,268868.22,2025-10-08T05:38:22.904482,5,2,0,1,0,1,0,8,12,1,0,1
TXN000032,user029,12486.07,2025-11-21T11:38:22.904482,11,4,0,0,0,0,0,1,127,0,0,0
